report_date,số_clip_post,số_bài_viết_bao_gồm_hình_ảnh,số_sự_kiện_xúc_tiến_bao_gồm_hội_chợ_diễn_đàn_event_khác_lần_tháng,số_báo_giá_cho_pot_báo_giá_tuần,số_mẫu_gửi_cho_pot_mẫu_tuần,chi_phí_gửi_mẫu_cho_pot_vnd_tháng,số_khách_hàng_mới_new_được_chốt_khách_tuần,doanh_thu_từ_new_vnd_tuần,tỷ_lệ_đóng_góp_doanh_thu_new_tổng_doanh_thu_tháng,sản_lượng_bán_sp_nha_đam,sản_lượng_bán_sp_thạch_dừa,sản_lượng_bán_sp_thương_mại_khác,doanh_thu_sp_nha_đam,doanh_thu_sp_thạch_dừa,doanh_thu_sp_thương_mại_khác,tỷ_lệ_hoàn_thành_kh_sản_lượng_bán,tỷ_lệ_hoàn_thành_kh_doanh_thu,tỷ_lệ_thu_hồi_công_nợ,trị_giá_thu_hồi_công_nợ,trị_giá_công_nợ_ngắn_hạn_dưới_1_tháng,trị_giá_công_nợ_ngắn_hạn_trên_1_tháng_dưới_3_tháng,thời_gian_thu_hồi_công_nợ,tổng_cầu_về_sản_phẩm_nha_đam,tổng_cầu_về_sản_phẩm_thạch_dừa,tổng_cầu_về_sản_phẩm_thương_mại_khác,tỷ_lệ_đáp_ứng_tổng_cầu_về_sản_phẩm_nha_đam,tỷ_lệ_đáp_ứng_tổng_cầu_về_sản_phẩm_thạch_dừa,tỷ_lệ_đáp_ứng_tổng_cầu_về_sản_phẩm_thương_mại_khác,số_khiếu_nại_nhận,trị_giá_đền_bù_cho_khiếu_nại,thời_gian_giải_quyết_khiếu_nại,số_nhu_cầu_về_sản_phẩm_mới_nhu_cầu_mới_nhu_cầu_tháng_nhu_cầu_mới_là_nhu_cầu_về_sản_phẩm_hoàn_toàn_mới_và_chưa_có_mã_sản_phẩm,số_lần_khách_hủy_đơn_lần_tháng,chi_phí_vận_tải_bao_gồm_bằng_xe_tải_xe_cont_nâng_hạ_tại_cảng,chi_phí_xuất_khẩu_và_liên_quan_đến_hải_quan_xuất_khẩu,chi_phí_làm_và_xuất_trình_bộ_chứng_từ_xuất_khẩu,thời_gian_làm_và_xuất_trình_bộ_chứng_từ_xuất_khẩu,chi_phí_gửi_bộ_chứng_từ_xuất_khẩu,chi_phí_nhập_khẩu
2025-02-04,3.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,171500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2350000.0,7000000.0,2070000.0,2.0,390000.0,7000000.0
2025-02-05,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,44500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4250000.0,5500000.0,2370000.0,6.0,400000.0,5500000.0
2025-02-06,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1550000.0,8900000.0,1270000.0,5.0,470000.0,8900000.0
2025-02-07,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3450000.0,6100000.0,1770000.0,3.0,380000.0,6100000.0
2025-02-08,4.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,59500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2650000.0,7700000.0,2170000.0,4.0,410000.0,7700000.0
2025-02-10,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,46500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1750000.0,8800000.0,1140000.0,6.0,340000.0,8800000.0
2025-02-11,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,64800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3850000.0,6750000.0,1520000.0,5.0,480000.0,6750000.0
2025-02-12,2.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750000.0,7650000.0,1920000.0,4.0,410000.0,7700000.0
2025-02-13,2.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4650000.0,5350000.0,2190000.0,7.0,440000.0,5350000.0
2025-02-14,4.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1950000.0,8250000.0,1390000.0,4.0,395000.0,8250000.0
2025-02-15,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3950000.0,6850000.0,1720000.0,3.0,370000.0,6850000.0
2025-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4850000.0,5450000.0,2320000.0,2.0,345000.0,5450000.0
2025-02-18,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,45000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100000.0,8050000.0,1290000.0,6.0,435000.0,8050000.0
2025-02-19,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,65300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3050000.0,6150000.0,1820000.0,4.0,405000.0,6150000.0
2025-02-20,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2100000.0,7850000.0,2120000.0,3.0,355000.0,7850000.0
2025-02-21,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,46500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4150000.0,5250000.0,2420000.0,7.0,425000.0,5250000.0
2025-02-22,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,64800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1350000.0,8450000.0,1180000.0,5.0,375000.0,8450000.0
2025-02-24,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2450000.0,7250000.0,2070000.0,6.0,425000.0,7250000.0
2025-02-25,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,1492848000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3950000.0,6850000.0,1720000.0,4.0,375000.0,6550000.0
2025-02-26,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,0.0,2694888000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2650000.0,7700000.0,2170000.0,3.0,360000.0,7650000.0
2025-02-27,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,1111320000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-28,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,65.3,0.0,0.0,1569304800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-01,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-03,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-04,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-05,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-06,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-07,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-08,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
