Ngày báo cáo	Ngày tạo	Số hợp đồng đang rà soát	Số phụ lục hợp đồng đang rà soát	Số hợp đồng, phụ lục mới được lưu trữ	Số hợp đồng mới nhận từ các phòng/ban	Số hợp đồng có điều khoản cần đàm phán lại	Số hợp đồng có tranh chấp phát sinh	Số biên bản nghiệm thu, thanh lý đang rà soát	Số văn bản pháp lý đang soạn thảo	Số văn bản pháp lý được ban hành	Số văn bản pháp lý mới được lưu trữ	Số văn bản pháp lý cần rà soát lại	Số hồ sơ cấp phép đang soạn thảo	Số hồ sơ cấp phép đang chờ cơ quan nhà nước xử lý	Tỷ lệ báo cáo gửi đúng hạn	Số lần bị nhắc nhở từ cơ quan quản lý	Tỷ lệ công bố thông tin chính xác ngay lần đầu	Số lượng báo cáo công bố thông tin hoàn thành	Thời gian trung bình xử lý công bố thông tin bất thường	Mức độ tuân thủ các quy định về quản trị công ty	Số cuộc họp HĐQT và Đại hội đồng cổ đông tổ chức đúng quy trình	Tỷ lệ biên bản họp được ban hành đúng thời hạn	Số lượng vi phạm về giao dịch nội bộ bị phát hiện	Số lần nhắc nhở của HĐQT về hỗ trợ quản trị	Tài liệu họp HĐQT/ĐHĐCĐ được chuẩn bị đúng hạn	Số lượng văn bản nội bộ được soạn thảo và cập nhật	Số lượng yêu cầu hỗ trợ từ HĐQT được xử lý thành công	Tỷ lệ tuân thủ các yêu cầu về hồ sơ lưu trữ	Số lỗi sai trong tài liệu họp HĐQT/ĐHĐCĐ bị phát hiện	Vấn đề xảy ra trong ngày
45,707.0	45708	2	0	0	0	0	0	1	0	0	0	0	0	4	100	0	100	18	45	100	0	100	0	0	1	0	3	100	0	
45,708.0	45709	1	0	1	0	0	0	0	1	0	0	0	0	0	100	0	100	18	45			100						100		
45,709.0	45710	1	0	2	1	0	0	0	0	0	0	0	0	0	100	0	100	18	45			100						100		
45,710.0	45711	3	0	3	3	0	0	0	0	0	0	0	0	0	100	0	100	18	45			100						100		
45,711.0	45,712.00																													
45712	45713	1	0	1	0	0	0	1	1	0	0	0	0	4	100	0	100	18	45	100	0	100	0	0	1		3	100	0	
45713	45714	1	0	1	0	0	0	0	0	0	0	0	0	4	100	0	100	18	45	100	0	100	0	0	1		3	100	0	
45714	45715	3	0	3	3	0	0	0	0	0	0	0	0	4	100	0	100	18	45	100	0	100	0	0	1		3	100	0	
45715	45716	2	0	1	1	1	0	1	0	0	0	0	0	4	100	0	100	18	45	100	0	100	0	0	1		3	100	0	
45716	45717	2	0	0	0	0	0	0	0	0	0	0	0	4	100	0	100	18	45	100	0	100	0	0	1		3	100	0	
45717	45718	3	1	1	1	1	0	0	0	1	0	1	1	1	100	0	100	18	39	100	0	100	0	0	1	0	3	100	0	
45,718.00	45,719.00																													
45719	45720	2	3	2	0	0	0	1	1	0	1	0	0	0	100	0	100	17	31	100	0	100	0	0	1	0	3	100	0	
45720	45721	4	2	1	3	0	0	0	0	0	0	1	0	1	100	0	100	10	46	100	0	100	0	0	1	0	3	100	0	
45721	45722	3	3	3	1	0	0	0	0	0	0	0	1	1	100	0	100	7	40	100	0	100	0	0	1	0	3	100	0	
45722	45723	2	2	1	0	1	2	0	0	1	1	0	1	1	100	0	100	5	24	100	0	100	0	0	1	0	3	100	0	
45723	45724	2	0	0	0	0	0	0	0	0	0	0	0	0	100	0	100	3	30	100	0	100	0	0	1	0	3	100	0	
45724	45725	1	0	2	1	1	0	1	0	1	0	1	0	0	100	0	100	0	45	100	0	100	0	0	1	0	3	100	0	
